WRONG KB ID 	EL_ENG_01681	Burlington	Burlington, Wisconsin
CORRECT     	EL_ENG_01997	Gerry Adams	Gerry Adams
WRONG KB ID 	EL_ENG_00319	Edward Kennedy	Kennedy Compound
WRONG KB ID 	EL_ENG_01667	Tempe	Tempe, Arizona
WRONG KB ID 	EL_ENG_00721	Franklin	Benjamin Franklin
CORRECT     	EL_ENG_00772	Benjamin Franklin	Benjamin Franklin
CORRECT     	EL_ENG_01147	Leeds	Leeds
CORRECT     	EL_ENG_00743	Juanita Millender-McDonald	Juanita Millender-McDonald
CORRECT     	EL_ENG_01204	Kia Motors	Kia Motors
WRONG KB ID 	EL_ENG_01158	Fulham	Craven Cottage
WRONG KB ID 	EL_ENG_01409	Cottagers	Craven Cottage
CORRECT     	EL_ENG_02185	Johnson &amp; Johnson	Johnson &amp; Johnson
WRONG KB ID 	EL_ENG_00058	Salem	Salem Nuclear Power Plant
WRONG KB ID 	EL_ENG_02078	Riverside, Washington	Riverside, Washington
CORRECT     	EL_ENG_00799	Litchfield, New Hampshire	Litchfield, New Hampshire
CORRECT     	EL_ENG_00786	Riverton, Wyoming	Riverton, Wyoming
EXP NIL     	EL_ENG_01543	Morris Brown	Morris Brown College
CORRECT     	EL_ENG_00269	University College London	University College London
CORRECT     	EL_ENG_02095	Ron Howard	Ron Howard
CORRECT     	EL_ENG_00110	Heath Evans	Heath Evans
CORRECT     	EL_ENG_01634	Moshe Katsav	Moshe Katsav
WRONG KB ID 	EL_ENG_01653	Richard Jewell	Richard Jewell
CORRECT     	EL_ENG_00849	Milford, New Hampshire	Milford, New Hampshire
CORRECT     	EL_ENG_01336	Milford, New Hampshire	Milford, New Hampshire
CORRECT     	EL_ENG_00383	GDR	East Germany
CORRECT     	EL_ENG_00533	DDR	East Germany
CORRECT     	EL_ENG_01264	East Germany	East Germany
CORRECT     	EL_ENG_01808	Ike Turner	Ike Turner
EXP NIL     	EL_ENG_01713	Louise Jones	Louise Jones (cyclist)
CORRECT     	EL_ENG_00263	Red Wing, Minnesota	Red Wing, Minnesota
EXP NIL     	EL_ENG_01064	Red Wing	Red Wing, Minnesota
CORRECT     	EL_ENG_00253	Wales, Alaska	Wales, Alaska
CORRECT     	EL_ENG_00725	Battelle	Battelle Memorial Institute
CORRECT     	EL_ENG_01359	Zab Judah	Zab Judah
CORRECT     	EL_ENG_01638	Judah	Zab Judah
WRONG KB ID 	EL_ENG_01302	Fayetteville, Arkansas	Fayetteville, Arkansas
CORRECT     	EL_ENG_01445	Fayetteville, Arkansas	Fayetteville, Arkansas
CORRECT     	EL_ENG_00869	West Bromwich Albion	West Bromwich Albion F.C.
CORRECT     	EL_ENG_01231	West Brom	West Bromwich Albion F.C.
WRONG KB ID 	EL_ENG_01193	David Lopez	David Lopez (artist)
CORRECT     	EL_ENG_00205	Poppy Montgomery	Poppy Montgomery
CORRECT     	EL_ENG_00611	Greenville, Kentucky	Greenville, Kentucky
CORRECT     	EL_ENG_00818	Greenville, Kentucky	Greenville, Kentucky
CORRECT     	EL_ENG_00535	Starr	Ringo Starr
EXP NIL     	EL_ENG_01022	Starr	Ringo Starr
EXP NIL     	EL_ENG_01855	Starr	Ringo Starr
CORRECT     	EL_ENG_01217	Matt Capps	Matt Capps
CORRECT     	EL_ENG_00507	Clifton, New Jersey	Clifton, New Jersey
CORRECT     	EL_ENG_01051	Annie Clark	Annie Clark
CORRECT     	EL_ENG_02038	Cornwall, N.Y.	Cornwall, New York
CORRECT     	EL_ENG_01129	Brownsville, Minnesota	Brownsville, Minnesota
EXP NIL     	EL_ENG_01053	Glenview	Glenview, Kentucky
CORRECT     	EL_ENG_01233	Glenview	Glenview, Kentucky
CORRECT     	EL_ENG_00897	Riverton	Riverton, Utah
CORRECT     	EL_ENG_00288	Columbus, Ohio	Columbus, Ohio
EXP NIL     	EL_ENG_00701	Columbus, Ohio	Columbus, Ohio
CORRECT     	EL_ENG_00192	Lebanon	Lebanon
CORRECT     	EL_ENG_01122	OSI	OSI Pharmaceuticals
WRONG KB ID 	EL_ENG_01181	Lakeville	Lakeville North High School
CORRECT     	EL_ENG_00666	Steven Gerrard	Steven Gerrard
EXP NIL     	EL_ENG_00689	Hell, Norway	Hell Station
CORRECT     	EL_ENG_01983	Ansel Adams	Ansel Adams
CORRECT     	EL_ENG_00523	Parkville, Missouri	Parkville, Missouri
CORRECT     	EL_ENG_00114	Los Angeles Daily News	Los Angeles Daily News
EXP NIL     	EL_ENG_00595	Daily News	Los Angeles Daily News
WRONG KB ID 	EL_ENG_00905	Daily News	Los Angeles Daily News
CORRECT     	EL_ENG_01768	Percy Montgomery	Percy Montgomery
CORRECT     	EL_ENG_02154	Milford, Utah	Milford, Utah
CORRECT     	EL_ENG_01578	New Brunswick, New Jersey	New Brunswick, New Jersey
CORRECT     	EL_ENG_01756	Ronnie Brown	Ronnie Brown
CORRECT     	EL_ENG_01369	Sam Adams	Sam Adams (American football)
WRONG KB ID 	EL_ENG_01235	Moorefield, West Virginia	Battle of Moorefield
EXP NIL     	EL_ENG_00632	Boston College Eagles	Boston College Eagles
CORRECT     	EL_ENG_01963	Justin Wilson	Justin Wilson
EXP NIL     	EL_ENG_00696	Hasina Wajed	Sheikh Hasina
CORRECT     	EL_ENG_00297	Forest	Nottingham Forest F.C.
CORRECT     	EL_ENG_00652	Notts Forest	Nottingham Forest F.C.
CORRECT     	EL_ENG_01206	Nottingham Forest	Nottingham Forest F.C.
WRONG KB ID 	EL_ENG_01748	AMA	AMA Superbike Championship
CORRECT     	EL_ENG_00954	Patrick Kennedy	Patrick J. Kennedy
CORRECT     	EL_ENG_01838	Gainesville, Texas	Gainesville, Texas
EXP NIL     	EL_ENG_00028	Mount Pleasant, Iowa	Mount Pleasant, Iowa
CORRECT     	EL_ENG_01010	Mount Pleasant, Iowa	Mount Pleasant, Iowa
CORRECT     	EL_ENG_00018	Confederate States of America	Confederate States of America
CORRECT     	EL_ENG_00041	Boy Scouts of America	Boy Scouts of America
WRONG KB ID 	EL_ENG_01130	MOORE	Mandy Moore
CORRECT     	EL_ENG_00947	Helen Clark	Helen Clark
EXP NIL     	EL_ENG_01124	Nice	Nice
CORRECT     	EL_ENG_02105	Nice	Nice
WRONG KB ID 	EL_ENG_00969	Howeird	Howard K. Stern
CORRECT     	EL_ENG_01683	Bill Clinton	Bill Clinton
CORRECT     	EL_ENG_01645	Bart Starr	Bart Starr
CORRECT     	EL_ENG_01468	Giuseppe Rossi	Giuseppe Rossi
CORRECT     	EL_ENG_00282	Springfield, Missouri	Springfield, Missouri
CORRECT     	EL_ENG_00082	Cedrick Wilson	Cedrick Wilson
EXP NIL     	EL_ENG_00087	Pleasant Valley	Pleasant Valley High School (Iowa)
EXP NIL     	EL_ENG_01985	Adel Taarabt	Adel Taarabt
CORRECT     	EL_ENG_01186	Jack Reed	Jack Reed
CORRECT     	EL_ENG_01379	Dayton, New Jersey	Dayton, New Jersey
CORRECT     	EL_ENG_00175	Jerry Brown	Jerry Brown
WRONG KB ID 	EL_ENG_00753	KOSA	Hair (musical)
CORRECT     	EL_ENG_01815	James Moore	James Moore (Canadian politician)
CORRECT     	EL_ENG_01878	Rockland, New York	Rockland County, New York
EXP NIL     	EL_ENG_01841	CSA	Czech Airlines
WRONG KB ID 	EL_ENG_00931	Doncaster	Doncaster
WRONG KB ID 	EL_ENG_01089	Auburn, Alabama	Auburn Metropolitan Area
EXP NIL     	EL_ENG_00583	BOL	Manute Bol
WRONG KB ID 	EL_ENG_01065	Halliburton	Gulf War
CORRECT     	EL_ENG_01126	Barry Clifford	Barry Clifford
EXP NIL     	EL_ENG_00144	Northampton	Northampton
CORRECT     	EL_ENG_01752	Vinnie Jones	Vinnie Jones
WRONG KB ID 	EL_ENG_00367	Blues	Blues
CORRECT     	EL_ENG_01925	John Dean	John Dean
CORRECT     	EL_ENG_00007	Ashland, Massachusetts	Ashland, Massachusetts
CORRECT     	EL_ENG_00814	Ashland	Ashland, Massachusetts
WRONG KB ID 	EL_ENG_01689	ASHLAND	Ashland, Massachusetts
CORRECT     	EL_ENG_00809	Michael Jackson	Michael Jackson
CORRECT     	EL_ENG_01451	Alexandria, Virginia	Alexandria, Virginia
EXP NIL     	EL_ENG_00086	Nicky Barnes	Leroy Barnes
CORRECT     	EL_ENG_01742	Eddie Johnson	Eddie Johnson (American soccer)
CORRECT     	EL_ENG_01176	Lauren Booth	Lauren Booth
CORRECT     	EL_ENG_01138	Larry Johnson	Larry Johnson (American football)
CORRECT     	EL_ENG_00495	Medford, Oklahoma	Medford, Oklahoma
CORRECT     	EL_ENG_01203	Boris Johnson	Boris Johnson
CORRECT     	EL_ENG_00055	Mitch Jones	Mitch Jones
CORRECT     	EL_ENG_00766	Springfield	Dusty Springfield
WRONG KB ID 	EL_ENG_01306	Springfield	Dusty Springfield
CORRECT     	EL_ENG_01881	Alan Moore	Alan Moore
CORRECT     	EL_ENG_01913	American Apparel	American Apparel
CORRECT     	EL_ENG_01368	Charles Grant	Charles Grant (American football)
CORRECT     	EL_ENG_00501	Haruki Murakami	Haruki Murakami
CORRECT     	EL_ENG_01355	Newton	Newton Vineyard
CORRECT     	EL_ENG_00233	Robert F. Kennedy	Robert F. Kennedy
CORRECT     	EL_ENG_01560	Sri Lanka Army	Sri Lanka Army
CORRECT     	EL_ENG_01554	Charles Norwood	Charlie Norwood
CORRECT     	EL_ENG_00605	Oscar Peterson	Oscar Peterson
CORRECT     	EL_ENG_00242	Julia Carson	Julia Carson
CORRECT     	EL_ENG_00326	Tierney	Gene Tierney
EXP NIL     	EL_ENG_01741	Toronto	Toronto
WRONG KB ID 	EL_ENG_00065	Kingston, New York	Kingston, New York
WRONG KB ID 	EL_ENG_00393	Kingston, New York	Kingston, New York
CORRECT     	EL_ENG_01428	Alphonso Jackson	Alphonso Jackson
CORRECT     	EL_ENG_00262	R.L. Stine	R. L. Stine
CORRECT     	EL_ENG_01071	Newark, New Jersey	Newark, New Jersey
WRONG KB ID 	EL_ENG_01328	Newark	Newark, New Jersey
CORRECT     	EL_ENG_00692	Juwan Howard	Juwan Howard
CORRECT     	EL_ENG_01152	Juwan Howard	Juwan Howard
WRONG KB ID 	EL_ENG_00061	Salisbury	Salisbury
WRONG KB ID 	EL_ENG_00598	Salisbury	Salisbury
CORRECT     	EL_ENG_01942	FC Barcelona	FC Barcelona
EXP NIL     	EL_ENG_01361	Cleveland	Cleveland, Ohio
CORRECT     	EL_ENG_02002	Kemmerer, Wyoming	Kemmerer, Wyoming
CORRECT     	EL_ENG_01736	Newton	Isaac Newton
WRONG KB ID 	EL_ENG_02117	Newton	Isaac Newton
CORRECT     	EL_ENG_00048	Arsenal Football Club	Arsenal F.C.
CORRECT     	EL_ENG_00914	Arsenal	Arsenal F.C.
CORRECT     	EL_ENG_01786	Gunners	Arsenal F.C.
EXP NIL     	EL_ENG_00245	Dean Johnson	Dean Johnson
EXP NIL     	EL_ENG_01753	Dean Johnson	Dean Johnson
WRONG KB ID 	EL_ENG_01858	Lincoln Mark LT	Lincoln Mark LT
CORRECT     	EL_ENG_00424	Dover, New Hampshire	Dover, New Hampshire
WRONG KB ID 	EL_ENG_01286	Springfield, Oregon	Kip Kinkel
EXP NIL     	EL_ENG_00560	Milton	John Milton
CORRECT     	EL_ENG_02029	John Milton	John Milton
CORRECT     	EL_ENG_00089	Danville, Kentucky	Danville, Kentucky
CORRECT     	EL_ENG_01816	Kelly Stinnett	Kelly Stinnett
CORRECT     	EL_ENG_00088	Golden Lions	Golden Lions
CORRECT     	EL_ENG_00874	Matt Busby	Matt Busby
CORRECT     	EL_ENG_00160	Dalton, Georgia	Dalton, Georgia
CORRECT     	EL_ENG_01450	Joshua Kennedy	Joshua Kennedy
CORRECT     	EL_ENG_01237	Westmont College	Westmont College
WRONG KB ID 	EL_ENG_02085	Josh Hamilton	Josh Hamilton (actor)
EXP NIL     	EL_ENG_00032	World Wildlife Fund	World Wide Fund for Nature
EXP NIL     	EL_ENG_01185	World Wide Fund for Nature	World Wide Fund for Nature
EXP NIL     	EL_ENG_01214	World Wildlife Fund	World Wide Fund for Nature
CORRECT     	EL_ENG_01843	Pearson PLC	Pearson PLC
CORRECT     	EL_ENG_01267	Odessa	Odessa
CORRECT     	EL_ENG_00142	Eric Robert Rudolph	Eric Robert Rudolph
CORRECT     	EL_ENG_01763	Bird Johnson	Lady Bird Johnson
CORRECT     	EL_ENG_00526	Thomas Edison	Thomas Edison
EXP NIL     	EL_ENG_00156	John Houston	John Huston
WRONG KB ID 	EL_ENG_02070	Buena Vista	Lake Buena Vista, Florida
EXP NIL     	EL_ENG_00101	Bill Clark	Bill Clark
EXP NIL     	EL_ENG_00401	Richmond	Richmond, Virginia
CORRECT     	EL_ENG_02203	Richmond, Virginia	Richmond, Virginia
CORRECT     	EL_ENG_00230	Hua Guofeng	Hua Guofeng
WRONG KB ID 	EL_ENG_01476	William F. Buckley	William Francis Buckley
CORRECT     	EL_ENG_00207	Brighton	Brighton
EXP NIL     	EL_ENG_00920	William Balfour	Jennifer Hudson
CORRECT     	EL_ENG_00962	Brian Wilson	Brian Wilson
EXP NIL     	EL_ENG_01252	McKinley	Chuck McKinley
CORRECT     	EL_ENG_00678	Ala	Alabama
CORRECT     	EL_ENG_00126	New Haven, Connecticut	New Haven, Connecticut
WRONG KB ID 	EL_ENG_00723	New Haven	New Haven, Connecticut
CORRECT     	EL_ENG_00333	Greenville, Liberia	Greenville, Liberia
EXP NIL     	EL_ENG_00180	Lloyd 's	HBOS
CORRECT     	EL_ENG_01090	Sri Chinmoy	Sri Chinmoy
WRONG KB ID 	EL_ENG_00315	Milford	Milford, Connecticut
CORRECT     	EL_ENG_00459	milford	Milford, Connecticut
WRONG KB ID 	EL_ENG_00681	Milford	Milford, Connecticut
WRONG KB ID 	EL_ENG_00952	milford	Milford, Connecticut
CORRECT     	EL_ENG_01141	John Parker Wilson	John Parker Wilson
CORRECT     	EL_ENG_00296	Ryan Adams	Ryan Adams
CORRECT     	EL_ENG_01178	Jamestown, California	Jamestown, California
CORRECT     	EL_ENG_00173	Oxford, Mississippi	Oxford, Mississippi
CORRECT     	EL_ENG_01296	Oxford, Mississippi	Oxford, Mississippi
CORRECT     	EL_ENG_01767	Vince Carter	Vince Carter
WRONG KB ID 	EL_ENG_00128	Charleston, West Virginia	Robert Byrd
CORRECT     	EL_ENG_00464	Steve Clarke	Steve Clarke
CORRECT     	EL_ENG_01639	Mansfield, Missouri	Mansfield, Missouri
CORRECT     	EL_ENG_02044	Mount Pleasant, New York	Mount Pleasant, New York
EXP NIL     	EL_ENG_01996	Portland, North Dakota	Portland, North Dakota
CORRECT     	EL_ENG_01096	Tyson Thompson	Tyson Thompson
CORRECT     	EL_ENG_00404	Clark Hunt	Clark Hunt
CORRECT     	EL_ENG_00475	Kingston, Ontario	Kingston, Ontario
EXP NIL     	EL_ENG_02202	Steve Thompson	Steve Thompson (footballer born 1955)
CORRECT     	EL_ENG_00553	Joe Clark	Joe Clark
EXP NIL     	EL_ENG_01759	Joe Clark	Joe Clark
WRONG KB ID 	EL_ENG_00111	VA	Va people
CORRECT     	EL_ENG_01400	Jamestown, North Dakota	Jamestown, North Dakota
CORRECT     	EL_ENG_00485	Boise State University	Boise State University
CORRECT     	EL_ENG_01412	Salem, New Hampshire	Salem, New Hampshire
CORRECT     	EL_ENG_02052	Salem, New Hampshire	Salem, New Hampshire
WRONG KB ID 	EL_ENG_02031	Hull	Kingston upon Hull
EXP NIL     	EL_ENG_01099	AAA	Major League Baseball
CORRECT     	EL_ENG_00599	Greenville, Maine	Greenville, Maine
CORRECT     	EL_ENG_00536	Medford, Massachusetts	Medford, Massachusetts
WRONG KB ID 	EL_ENG_01820	Medford	Medford, Massachusetts
WRONG KB ID 	EL_ENG_01712	Covington	Covington, Virginia
CORRECT     	EL_ENG_02102	Lebanon, Ohio	Lebanon, Ohio
EXP NIL     	EL_ENG_01546	Woodbridge	Woodbridge, Connecticut
CORRECT     	EL_ENG_01735	Dallas Clark	Dallas Clark
WRONG KB ID 	EL_ENG_01496	Motown	The Temptations
CORRECT     	EL_ENG_00567	Ashland, Kansas	Ashland, Kansas
CORRECT     	EL_ENG_01150	Duluth, Georgia	Duluth, Georgia
EXP NIL     	EL_ENG_01205	Sweetwater Clifton	Nathaniel Clifton
CORRECT     	EL_ENG_00479	Mechanicsville, Iowa	Mechanicsville, Iowa
WRONG KB ID 	EL_ENG_00859	Mount Pleasant	Mount Pleasant, South Australia
EXP NIL     	EL_ENG_00199	Clearwater, Kansas	Clearwater, Kansas
CORRECT     	EL_ENG_00491	Killingworth, Connecticut	Killingworth, Connecticut
CORRECT     	EL_ENG_00941	Danville, California	Danville, California
WRONG KB ID 	EL_ENG_00274	Trondheim	Trondheim
CORRECT     	EL_ENG_01821	Trondheim	Trondheim
EXP NIL     	EL_ENG_01209	Terry Moore	Terry Moore (actress)
CORRECT     	EL_ENG_01622	Chelsea Handler	Chelsea Handler
CORRECT     	EL_ENG_01229	Hanover, New Hampshire	Hanover, New Hampshire
CORRECT     	EL_ENG_01870	Middlesbrough	Middlesbrough F.C.
WRONG KB ID 	EL_ENG_00104	James Nichols	Terry Nichols
EXP NIL     	EL_ENG_01207	James Nichols	Terry Nichols
CORRECT     	EL_ENG_02069	Philip Kaiser	Philip Mayer Kaiser
CORRECT     	EL_ENG_00837	Danville	Danville, Virginia
CORRECT     	EL_ENG_02019	Woodstock, Georgia	Woodstock, Georgia
CORRECT     	EL_ENG_01221	Yolanda King	Yolanda King
EXP NIL     	EL_ENG_01238	BoT	Bhutan
EXP NIL     	EL_ENG_00770	Peter Schiff	Peter Schiff
EXP NIL     	EL_ENG_01989	Peter Schiff	Peter Schiff
CORRECT     	EL_ENG_01818	Barbara Gittings	Barbara Gittings
WRONG KB ID 	EL_ENG_01190	ATHENS	Athens
CORRECT     	EL_ENG_01879	Athens	Athens
CORRECT     	EL_ENG_00840	HAL	Holland America Line
CORRECT     	EL_ENG_00316	Mike Nichols	Mike Nichols
EXP NIL     	EL_ENG_00616	Leicester	Leicester
EXP NIL     	EL_ENG_01189	Patrick Moore	Patrick Moore
CORRECT     	EL_ENG_02152	Takashi Murakami	Takashi Murakami
CORRECT     	EL_ENG_01370	Centers for Disease Control	Centers for Disease Control and Prevention
CORRECT     	EL_ENG_01565	CDC	Centers for Disease Control and Prevention
CORRECT     	EL_ENG_01294	Angolan Armed Forces	Angolan Armed Forces
CORRECT     	EL_ENG_00895	Rolling Stones	The Rolling Stones
CORRECT     	EL_ENG_00036	Ulster Defense Association	Ulster Defence Association
EXP NIL     	EL_ENG_00923	UDA	Ulster Defence Association
WRONG KB ID 	EL_ENG_00980	Uda	Ulster Defence Association
WRONG KB ID 	EL_ENG_00076	Cambridge	Rosalind Franklin
WRONG KB ID 	EL_ENG_00275	Tottenham	Tottenham
WRONG KB ID 	EL_ENG_00672	Woodbridge	Woodbridge Center
CORRECT     	EL_ENG_01377	Pakistan Olympic Association	Pakistan Olympic Association
WRONG KB ID 	EL_ENG_01915	Millbrook, New York	Millbrook, New York
CORRECT     	EL_ENG_00604	Chase Bank	Chase (bank)
CORRECT     	EL_ENG_01365	Warren, Ohio	Warren, Ohio
WRONG KB ID 	EL_ENG_01274	Anchorage, Alaska	Anchorage, Alaska
CORRECT     	EL_ENG_01566	Nancy Scranton	Nancy Scranton
EXP NIL     	EL_ENG_00663	Cougars	Washington State Cougars
CORRECT     	EL_ENG_01448	Richmond, California	Richmond, California
CORRECT     	EL_ENG_00419	Sheff Utd	Sheffield United F.C.
CORRECT     	EL_ENG_00517	Pacman Jones	Adam Jones (American football)
WRONG KB ID 	EL_ENG_01555	Bloomfield	Mike Bloomfield
EXP NIL     	EL_ENG_00619	Rodney Smith	Roots Manuva
EXP NIL     	EL_ENG_00848	Rodney Smith	Roots Manuva
EXP NIL     	EL_ENG_01293	Rodney Smith	Roots Manuva
CORRECT     	EL_ENG_00247	Edward Weston	Edward Weston
EXP NIL     	EL_ENG_01677	Weston	Edward Weston
CORRECT     	EL_ENG_01183	Chicago Transit Authority	Chicago Transit Authority
WRONG KB ID 	EL_ENG_01467	Burlington, Washington	Burlington, Washington
EXP NIL     	EL_ENG_01628	Mark Clark	Mark Wayne Clark
CORRECT     	EL_ENG_01048	Chad Clifton	Chad Clifton
EXP NIL     	EL_ENG_01415	Austin Starr	Austin Aries
CORRECT     	EL_ENG_00926	Breckenridge, Texas	Breckenridge, Texas
CORRECT     	EL_ENG_01614	Veterans Affairs	United States Department of Veterans Affairs
WRONG KB ID 	EL_ENG_01655	Tesla Roadsters	Tesla Roadster
WRONG KB ID 	EL_ENG_00735	Somerset, Pennsylvania	Somerset, Pennsylvania
CORRECT     	EL_ENG_01213	Somerset, Pennsylvania	Somerset, Pennsylvania
WRONG KB ID 	EL_ENG_01449	Somerset, Pennsylvania	Somerset, Pennsylvania
WRONG KB ID 	EL_ENG_01826	NRC	Nuclear Regulatory Commission
CORRECT     	EL_ENG_02097	Nuclear Regulatory Commission	Nuclear Regulatory Commission
EXP NIL     	EL_ENG_02177	NRC	Nuclear Regulatory Commission
WRONG KB ID 	EL_ENG_00304	Joe Wilson	Joseph C. Wilson
CORRECT     	EL_ENG_02090	Bluebirds	Cardiff City F.C.
WRONG KB ID 	EL_ENG_00132	Cardiff	Cardiff
WRONG KB ID 	EL_ENG_01510	Cardiff	Cardiff
WRONG KB ID 	EL_ENG_01718	Cardiff	Cardiff
EXP NIL     	EL_ENG_00841	Thomas Hamilton	Dunblane massacre
CORRECT     	EL_ENG_00826	Howard Dean	Howard Dean
WRONG KB ID 	EL_ENG_01244	Newport, Washington	Newport, Washington
WRONG KB ID 	EL_ENG_00442	Greenville	Greenville, South Carolina
CORRECT     	EL_ENG_00844	Greenville, South Carolina	Greenville, South Carolina
CORRECT     	EL_ENG_00932	Wellsville, Utah	Wellsville, Utah
WRONG KB ID 	EL_ENG_02116	Lakewood	Lakewood, Colorado
EXP NIL     	EL_ENG_01269	MMA	Mixed martial arts
EXP NIL     	EL_ENG_01494	Montreal, Canada	Montreal
CORRECT     	EL_ENG_02144	Naples, Italy	Naples
EXP NIL     	EL_ENG_00051	Oceanside	Oceanside, California
CORRECT     	EL_ENG_01094	Oceanside, California	Oceanside, California
WRONG KB ID 	EL_ENG_00909	Doug Wilson	Doug Wilson (ice hockey)
CORRECT     	EL_ENG_01298	Hayward	Hayward, California
CORRECT     	EL_ENG_01471	Vancouver, British Columbia	Vancouver
EXP NIL     	EL_ENG_01806	Vancouver, British Columbia	Vancouver
EXP NIL     	EL_ENG_02145	Vancouver, Canada	Vancouver
CORRECT     	EL_ENG_00380	David Chase	David Chase
CORRECT     	EL_ENG_00310	Hamilton	Hamilton Watch Company
CORRECT     	EL_ENG_01862	Rick Springfield	Rick Springfield
CORRECT     	EL_ENG_02099	Rick Springfield	Rick Springfield
WRONG KB ID 	EL_ENG_00607	Liverpool	Valencia CF
CORRECT     	EL_ENG_00928	Valencia	Valencia CF
CORRECT     	EL_ENG_02042	Coopersville, Michigan	Coopersville, Michigan
CORRECT     	EL_ENG_00138	Duluth, Minnesota	Duluth, Minnesota
EXP NIL     	EL_ENG_00131	Stephen Kaplan	Stephen Kaplan
EXP NIL     	EL_ENG_01228	Stephen Kaplan	Stephen Kaplan
