1	Exeter	Exeter	The centre of Exeter was evacuated after the lunchtime blast at a restaurant popular with families in a shopping centre and bomb disposal experts and sniffer dogs were sent in. A 19-year-old Muslim convert was arrested last month in Bristol in western England and charged with explosives and extremism offences, although there was no immediate suggestion that the events in Exeter were connected to his case.
1	Thomasville, Georgia	Thomasville, Georgia	saving woman ' s life THOMASVILLE, Georgia 2007-02-02 21:27:50 UTC So she contacted Heidy Drawdy, a veteran Thomasville dog trainer who is a member of South Georgia Search Dog, a group that has taken part in numerous rescue operations, including work in New Orleans following Hurricane Katrina.
0	John Collins	John Augustine Collins	"Collins, who took over Hibernian in October last year, played 58 times for Scotland. The Scottish Football Association said Collins' resignation was not connected to the Scotland coaching job. Hibernian manager John Collins quit on Thursday, fueling speculation that he will be named as the next Scotland coach. NEWS STORY 2007-12-20 John ""I feel that I leave with the CIS Cup in the trophy cabinet, a fine set of young players, a great new training ground,"" Collins said. Collins said he left the Scottish Premier League club because of a tight transfer budget."
1	Oakland	Oakland, California	Korey has told us there is a goodly game going on in Oakland on Korey has told us there is a goodly game going on in Oakland on Thursday nights.
0	Oakland	Oakland, California	The NFL likes to feature an interconference game as the feature game so if Tampa Bay or New Orleans are picked to be the home teams, the only two choices for games for them would be San Diego or Oakland (San Diego and Oakland both visit Tampa Bay and New Orleans in 2008).
1	Awami National Party	Awami National Party	"The blast happened at a rally of the Awami National Party (ANP), an ethnic Pashtun nationalist party, in the town of Charsadda in North West Frontier Province, they said. ""There was a big explosion at a public rally by the ANP, there are casualties."
1	Awami National Party	Awami National Party	one person was killed Saturday in a blast at the Awami National Party's rally in northwestern
1	Bruce Starr	Bruce Starr	The attention-gripping brand name hints James Bond's gadget master, Q, and the spiked tires that gave Bond's Aston Martin extra traction in the 2002 film &quot;Die Another Day.&quot; &quot;It's a product which like so many in this country was invented by someone who said, 'By God, there's got to be a better way,'&quot; said Bruce Starr, a company spokesman.
1	Cambridge, Md	Cambridge, Maryland	Blackwater National Wildlife Refuge is just south of Cambridge, Md. There are no lodging options right near the refuge (or dining or shopping options, either), but there are several bed-and- breakfasts and motels in Cambridge.
1	Energy Information Administration	Energy Information Administration	The mission of the Energy Information Administration (EIA) is to provide policy-neutral data, forecasts, and analyses to promote sound policy making, efficient markets, and public understanding regarding energy and its interaction with the economy and the environment.
1	Ed Johnson	Ed Johnson (American football)	Indianapolis Colts defensive tackle Ed Johnson was arrested on Wednesday and charged with speeding and possessing marijuana. Bill Polian, president of the National Football League team, confirmed the arrest, and coach Tony Dungy said Johnson wouldn't play in Sunday's game at Minnesota. Polian told the Indianapolis Star that the team is mulling what disciplinary action to take against Johnson. Johnson recorded 63 tackles last year as an NFL rookie with the Colts.
0	Bill Tierney	Bill Tierney	Among those documents, presented Saturday at the conference by former FBI translator Bill Tierney, were transcripts of Saddam's palace conversations with top aides in which he discussed ongoing nuclear weapons plans in 2000, well after the U.N. arms inspectors believed he had ceased all nuclear weapons work.
0	John Adams	John Adams	Adams, a lifelong Indians fan, figures he has taken the drum, part of a $25 set, to all but 34 of the more than 2,500 home games the Indians have played since Aug. 24, 1973.
0	Brant Parker	Brant Parker	Everything kind of grew out of that,'' Parker said in 1986. ``It's two different kinds of thinking, always,'' Parker told the Los Angeles Times in 1986. the Otis Art Institute from 1939 to 1942, he served in the Navy during World War II.  His ``main school of cartoon learning'' was a two-year stint at Walt Disney Studios in the late 1940s ``that was fun,'' Parker later recalled. to Centreville, Va., in the 1990s. He collaborated with other cartoonists, Cartoonist Brant Parker, who co-created the comic strip ``The Wizard of Id'' and rendered its medieval kingdom for more than three decades, has died. Beginning in the late 1980s, Parker lived part of the year in Irvine, Calif., but moved to Centreville, Va., in the 1990s. ``Humor is a ... very important part of our survival and existence now,'' Parker said in 1986. It endured until 1997, when Parker turned the ``Wizard'' drawing over to his son, Jeff, who had served a decadelong apprenticeship. The Kingdom of Id sprang to life in a New York hotel room when Parker and Hart papered the walls with two-dozen ``Wizard'' panels. Parker died Sunday at a Lynchburg, Va., nursing home of complications related to Alzheimer's disease and a stroke suffered last year, announced Creators Syndicate, the strip's distributor. Hart was already drawing the Stone Age strip ``B.C.'' when he sought out Parker to help wring humor from the Middle Ages. By the late 1940s, Parker and his wife, the former Mary Louise Sweet, had moved to New York. Syndicate, the strip's distributor. His death came eight days after longtime One of Parker's favorite ``Wizard'' characters was one he thought up -- Spook, the prisoner in the dungeon who is always trying to escape. Brant Julian Parker was born Aug. 26, 1920, in Los Angeles. He's stuck in there for life, and he keeps trying to get out,'' Parker recalled. While Parker drew the ``Wizard'' pictures, Hart came up with the gags that they refined together.
1	Richard Hamilton	Richard Hamilton (basketball)	"Pistons guards Chauncey Billups and Richard Hamilton were named reserves to the NBA All-Star Game on Feb. 17. < ""It's exciting to get there again,"" Hamilton said. Billups and Hamilton were the only Pistons selected (by the coaches) to the Eastern team. All-Star rosters EAST Chauncey Billups, G, Detroit Chris Bosh, F-C, Toronto Caron Butler, F, Washington x-Kevin Garnett, F, Boston, Richard Hamilton, G, Detroit, x-Dwight Howard, C, Orlando, x-LeBron James, F, Cleveland, Antawn Jamison, F, Washington Joe Johnson, G, Atlanta, x-Jason Kidd, G, New Jersey, Paul Pierce, F, Boston, x-Dwyane Wade, G, Miami, WEST x-Carmelo Anthony, F, Denver, Carlos Boozer, F, Utah, x -Kobe Bryant, G, L.A. Lakers, x-Tim Duncan, F, San Antonio, x-Allen Iverson, G, Denver, x-Yao Ming, C, Houston, Steve Nash, G, Phoenix, Dirk Nowitzki, F, Dallas, Chris Paul, G, New Orleans, Brandon Roy, G, Portland Amare Stoudemire, F-C, Phoenix, David West, F, New Orleans . Hamilton echoed Billups' sentiments. ""We're joined from the hip,"" Hamilton said. Hamilton doesn't care how he and Billups achieved All-Star status for the third year in a row. Hamilton's numbers are in the same ballpark: 18.9 points, 3.3 rebounds and 4.9 assists; 50.3 percent shooting."
0	Ray Brown	Ray Brown (musician)	-- The Buffalo Bills hired Ray Brown as their assistant offensive line coach on Tuesday.
0	Frisco	Frisco, Texas	I am here in Frisco and ski a couple days a week so maybe we will meet up soon and think of others ways to help out too All sensations of the body and emotions of the mind are powered by an energy called Life Force.
0	Frisco	Frisco, Texas	Hatteras Island, across Oregon Inlet from Bodie Island, is about 60 miles long and consists of seven towns (Rodanthe, Waves, Salvo, Avon, Buxton, Frisco and Hatteras).
0	Frisco	Frisco, Texas	Also included on this CD are plat maps of the following cities: Atwater, Cimarron, Edwin, Fargo Springs, Fowler City, Frisco, Greensward, Hugoton, Ivanhoe, Johnson City, Meade Center, Mertilla, Montezuma, Neutral City, Oak City, Pearlette, Richfield, Santa Fe, Shockeyville, Stowe, Surprise, Taloga, Ulysses, Voorhees, West Plains and Woodsdale.
1	Frisco, Tx	Frisco, Texas	Invite your friends who have been asking you how to become as good a dancer as you are! We’ll be in Dallas, Lewisville, Frisco, Denton, and Southlake.
1	Anderson, Indiana	Anderson, Indiana	If you watched the last few weeks of this campaign, you'd think that all politics is about is negative ads and bickering and arguing, gaffes and sideline issues, Obama said at a town hall meeting in the aging industrial city of Anderson, Indiana.
1	American Basketball Association	American Basketball Association	The 6-foot-6 Simon played in the ABA for eight years with the New Jersey Americans, New York Nets and Kentucky Colonels. He played in the Eastern League for two seasons before the ABA was formed in 1967. Simon began his ABA career with New Jersey and moved with the team to New York after one season. The ABA disbanded after the 1975-76 season.
0	ABA		" According to the ABA, Virginia's indigent funding caps are the lowest in the entire nation.	E0036356	American Basketball Association	American Basketball Association The American Basketball Association (ABA) was a professional basketball league founded in 1967, and eventually merged, in part, with the National Basketball Association (NBA)."
0	Aba	American Basketball Association	The office said as of 8 p.m. Wednesday more than 10,000 tourists were stranded in Aba, including about 2,900 in Jiuzhaigou and 7,058 in Songpan County. Yang Changqing, secretary-general of Aba prefectural government, said 1,200 tourists were stranded in Maoxian County of Aba.
1	American Basketball Association	American Basketball Association	Brown had 771 coaching wins in the NBA and 229 in the American Basketball Association.
1	Cartersville, Ga	Cartersville, Georgia	ATLANTA -- Perry Goad grew up poor in the mountains of Tennessee, but pulled himself out with hard work, eventually becoming a missionary at his church in Cartersville, Ga. Ric Mason, a Georgia Tech fanatic who once owned a popular Cartersville restaurant, headed a foundation that helped teenagers get money for college. Honduras Outreach organized the trip that included 28 people from four churches in Newnan and Cartersville. Mason ran a popular Cartersville restaurant, the Meeting Place, before selling it in 2000.
0	Dave Clark	The Dave Clark Five	After the Dave Clark Five disbanded in 1970, Smith performed for a time in a new band with Clark but worked mainly as a producer and songwriter. Besides Smith and Clark, the band included Lenny Davidson on lead guitar, Rick Huxley on bass guitar and Denny Payton on saxophone, harmonica and guitar.
1	Dover	Dover	"The SpeedOne catamaran, which runs the only link between Boulogne and Dover in England, was seized on Thursday night ""due to a financial disagreement with the port,"" said the head of the firm's French operations, Pascale Vernieuwe. The ship had been scheduled to carry 70 vehicles to Dover Friday night. The British ferry operator, which finally boycotted the meeting in protest, accuses the port of distorting competition rules in connection with the set-up of a rival French service to Dover."
0	Dover	Dover	About 50 people, including children, had attended the ceremony along Piney Creek north of Dover at a spot the lieutenant said was popular for picnicking and swimming.
1	Phoenix	Phoenix, Arizona	Southwest Airlines flight returns to Phoenix after short circuit causes smoke in cockpit Officials say a Southwest Airlines jet has returned to Phoenix's Sky Harbor airport after pilots reported smoke in the cockpit. The plane was en route to Chicago's Midway Airport before returning to Phoenix.
0	Phoenix	Phoenix, Arizona	In his 14- year NHL career, Gratton has accumulated 214 goals, 351 assists and 1,626 penalty minutes over 1,068 games with Tampa Bay, Florida, Colorado, Phoenix, Buffalo and Philadelphia.
0	Phoenix	Phoenix, Arizona	always fun to see what the teams fans thought... from the C's board... http://groups.google.com/group/alt.sports.basketball.nba.boston-celti... Have to hand it to Phoenix they outplayed the Celtics in almost every phase of the game last night.
0	Phoenix	Phoenix, Arizona	A-League team Wellington Phoenix of New Zealand cancel China tour New Zealand soccer team the Wellington Phoenix has called off a three-match preseason tour of China because of the May 12 earthquake which devastated the country's Sichuan province. Phoenix chief executive Tony Pignata said Tuesday it would be inappropriate for the A-League team to visit China as scheduled from June 8 to 16 as it grappled with a major humanitarian crisis. The Phoenix will play a Chinese club side in Wellington on Sunday in a match which will raise money for earthquake relief.
0	Phoenix	Phoenix, Arizona	"In Support of the Publication of the Anti-Islam Advertisement I refer to the anti-Islam advertisement from the ""Terrorism Awareness Program"" in last week's Phoenix."
1	Birmingham, England	Birmingham	"Birmingham, Alabama -- known as the Magic City because of its rapid 20th Century growth -- was founded on its steel industry. ""I would have thought the council would take more care,"" said Birmingham resident Jon Cooper. UK blunders over Birmingham, again! Birmingham City Council in nothern England distributed 720,000 leaflets that praised residents for exceeding recycling targets. In Britain, Birmingham has struggled with divisions between black and South Asian communities, which led to violent riots in the 1980s and in 2005. is Chicago -- has a population of 1 million. The Alabama city's population is roughly 230,000. But the photo was not of Birmingham, England, but of Birmingham, Alabama. churches and historic buildings. The Alabama city's skyline includes the Wachovia Associated Press writer Jay Reeves in Birmingham, Alabama, contributed to this report. It is the second time officials have mistakenly used images of Birmingham, Alabama. In Alabama, Birmingham was a center of 1960s civil rights protests by black Americans. Britain's Birmingham is famed for its modernist Bullring shopping mall, with its distinctive metallic curved exterior and an extensive network of canals, churches and historic buildings. Britain's second-largest city, Birmingham, has a new skyline -- only it belongs to its American namesake. Davis said she had never seen a similar mistake made in Birmingham, Alabama: ""How do you not know the landmarks in your own town?"" <"
0	Birmingham	Birmingham	Portsmouth vs. Birmingham - Saturday 15:00 POR – Absentees Kanu, Dindane, Belhadj and Yebda are out in Angola for the African Cup of Nations.
0	Birmingham	Birmingham	Ambulances took the injured workers to hospitals after the collapse at M&amp;B Hangers shortly after 9 a.m. in Leeds, near Birmingham.
0	Johnson	Lyndon B. Johnson	The newspaper said Johnson named Colgate, Henkel, Sara Lee and others.
1	Gerry Adams	Gerry Adams	"According to Higgins, Adams' name, and that of a traveling companion, appeared on a terror watch list, triggering a lengthy inspection. This is the first time that security officials have delayed Adams in the U.S. since he began receiving visa waivers in January 1994, when President Bill Clinton broke with longstanding State Department policy to allow Adams into the country for the first time. U.S. congressman says Sinn Fein leader Adams detained at airport after White House visit A Homeland Security official said Adams had left the Washington area, but he would give no further details. ""Gerry Adams should not have been on a terror watch list,"" said Higgins. longtime press aide. ""When I spoke with his assistant a little while ago, their luggage Congressman Brian Higgins, a New York Democrat who had invited Adams to speak at the Buffalo Irish Center, told the audience Friday night that Adams did not make it to Buffalo in time because he was detained at Reagan National Airport. Earlier Friday, Adams joined Irish Prime Minister Bertie Ahern and other Irish visitors at a White House St. Patrick's Day ceremony. Gerry Adams, leader of the IRA-allied Sinn Fein party in Northern Ireland, was detained at a Washington airport after attending a St. Patrick's Day event at the White House, according to a congressman. A spokeswoman for the Transportation Security Administration said she could not confirm that Adams was detained at the airport. Adams was interned as an IRA suspect from 1972 to 1976, and was convicted for an attempted jail breakout while in custody. McAuley was interned as an IRA suspect in the mid-1970s alongside Adams. However, Higgins' chief of staff Chuck Eaton later said that Adams was at Washington's other airport, Dulles International."
0	Tempe	Tempe, Arizona	Customs officers and NSW police followed the container when it was delivered to a self-storage depot at Tempe in Sydney's south Thursday and arrested four men as they were allegedly loading the cigarettes into a vehicle.
0	Franklin	Benjamin Franklin	With Franklin's legendary search technology, it's like having an instant concordance - you can find any passage&lt;b&gt;&lt;tt&gt; ...&lt;/tt&gt;&lt;/b&gt;] $39.95 [Add to Cart] Holy Bible, King James Version Model Number: KJB500561MCFP Imagine being able to carry an electronic Bible around with you wherever you go.
0	Franklin	Benjamin Franklin	MABAS Box 18-41 activated to the Box Alarm Level Engines from Cudahy, Franklin, Greenfield and Caledonia; Trucks from South Milwaukee and St. Francis; Chief from Cudahy, South Milwaukee, Franklin, Greenfield and St. Francis; Special Equipment Milwaukee Fire Bells and Wauwatosa Rescue 33 MABAS Dispatch 154.265
1	Benjamin Franklin	Benjamin Franklin	Washington was buried with Masonic rites: http://mastermason.com/BrotherGene/craft/masonic_myths_of_the_foundin... Benjamin Franklin, I'm afraid, was an even freakier Mason.
0	Franklin	Benjamin Franklin	"Hits by Franklin include ""Respect,"" ""Chain of Fools"" and ""Freeway of Love."" < Auditions for singing and non-singing parts in a musical production based on Aretha Franklin's autobiography will be held May 1-3 in suburban Detroit. The musical based on the 1999 best-seller, ""Aretha: From These Roots,"" is tentatively set to premiere in Franklin's hometown of Detroit next March. Roles to be cast include LaRue Mann, Franklin's wardrobe mistress, whose surrogate should possess ""sharp features, lots of personality and (be) bubbly,"" a statement from Franklin's publicists said Monday. Queen of Soul Aretha Franklin to help cast musical production based on her autobiography"
0	Franklin	Benjamin Franklin	The Franklin Mint mainly produces collectibles or commemorative medallions.
0	Franklin	Benjamin Franklin	10 year Lexus of Nashville mechanic Rob Auernheimer has a shop in Franklin - Cool Springs Automotive.
1	Rockland, Maine	Rockland, Maine	There's a sign outside Rock City Books &amp;amp; Coffee in Rockland, Maine, that reads: < Nowhere is that song more sweetly sung than in midcoast Maine, a region that encompasses such postcard-pretty communities as Camden, Rockport, Rockland, Lincolnville, and seven others. Rockland is home to the Farnsworth Art Museum, filled with works by the Wyeths, Robert Indiana, and many more artists.
1	Juanita Millender-McDonald	Juanita Millender-McDonald	Derounian (New York), Augustus Hawkins and Juanita Millender-McDonald (California), Frank
1	Kia Motors	Kia Motors	South Korea's Kia Motors said Monday it had signed an exclusive deal to supply cars to the Chinese Football Association until 2010. In a statement, Kia said it hoped the deal -- which also includes unspecified financial aid -- would contribute to China's success at this year's women's World Cup, next year's Beijing Olympic Games and the men's 2010 World Cup. But Kia, an affiliate of Hyundai Motor, said it would supply its latest models to the association over the next three years. Kia is already a sponsor of FIFA, football's world governing body.
0	Cottagers	Craven Cottage	The Cottagers go into this difficult away game as favourites but missing key striker Zamora, Blackburn may believe they can steal a win.
0	Ashland	Ashland, Wisconsin	Also included on this CD are plat maps of the following cities: Abbyville, Anthony, Appleton, Arlington, Ashland, Attica, Avilla, Bellefont, Brenham, Bross, Bucyrus, Cash City, Coldwater, Comanche, Crisfield, Crystal Springs, Cullison, Danville, Dodge City, Elmer, Englewood, Ford City, Freeport, Greensburg, Harper, Haven, Hazelton, Hutchinson, Iuka, Kent, Kingman, Lake City, Lerado, Lexington, Medicine Lodge, Mingona, Murdock, Nescatunca, New Kiowa, Nickerson, Ninnescah, Norwich, Partridge, Plevna, Pratt Center, Protection, Reeder, Rio, Ryansville, Saratoga, Sharon, Spearville, Stella, Sun City, Sylvia, Turon, Wilburn, Windhorst and Wright.
1	Johnson &amp; Johnson	Johnson &amp; Johnson	A Belgian subsidiary of US medical supplies group Johnson &amp; Johnson is to cut nearly 700 jobs at two sites in the north of the country, company and union officials said Tuesday.
1	Riverton, Wyoming	Riverton, Wyoming	"Sean Kelly said the agency was trying to confirm a report that a piece of the rocket may have hit the ground near Riverton, Wyoming, at about 6 a.m. Kelly said military personnel had not yet reached the scene. Riverton police Capt. ""It was a huge bright white light, with a long orange tail, just like something you'd see in the movies,"" he told The (Riverton) Ranger. Jessica Guthrie, who lives just outside Riverton city limits, saw the fire ball from her back steps and became worried."
1	University of New Haven	University of New Haven	Let's see...only head coaching experience is at the University of New Haven, coached tight ends in Dallas in 03, coached OL in 05, called plays for the HC in 06 and &quot;shares the philosophy&quot; of Parcells and Ireland.
1	University College London	University College London	The units collaborating in the Summer School are the Translation Studies Graduate Programme, School of Literatures, Languages and Cultures, at the University of Edinburgh, the Centre for Translation and Intercultural Studies at the University of Manchester, and the Centre for Intercultural Studies at University College London (UCL).
1	Ron Howard	Ron Howard	"Howard supported Democrat Barack Obama in the 2008 election with a viral video in which he said, among other things, that he'd voted for both parties in the past. For all the disclosures former President Richard Nixon makes in ""Frost/Nixon,"" director Ron Howard has one of his own. ""Yeah I did,"" Howard said at a discussion following a Hollywood screening late last month. ' Frost/Nixon ' director Howard voted for Nixon Howard says he voted for Nixon in 1972."
1	Heath Evans	Heath Evans	"Evans has not had a chance to play quarterback since he was a youngster. Asked if his role was thankless, Evans replied: < else. That's what makes it fun. It gives me a lot of opportunities to do a lot of roles. My role varies from week to week, but I enjoy it. It's a bit of variety. Sometimes In Evans's first four seasons, with the Seahawks, he had 33 carries; he equaled that total in games against the Dolphins (17 carries for 84 yards) and the Saints (16 for 74) in 2005. Evans did not require much prompting to describe his arrival with the Patriots in religious allegorical terms. - Heath Evans is multi-dimensional for the Patriots.  ""Pop Warner days, and I wasn't very good,"" he said. ""I ran on every down."" By the  If Evans had his choice? ""I'd keep my same position, because this way I way I get to play a lot,"" he said Tuesday. ""If I had to play another position it would be Tom  ""I'd keep my same position, because this way I get to play a lot,"" he said Tuesday. ""If I had ""I don't have any superstitions,"" Evans said. it. It's a bit of variety. Sometimes you'll see me at wide receiver and other times you'll see Before the Patriots' season-opening 38-14 win over the New York Jets, Kevin Faulk's jersey required adjusting, Evans helping to pull it into shape. was a youngster. ""Pop Warner days, and I wasn't very good,"" he said. ""I ran on every everyone is well appreciated for their roles. My role varies from week to week, but I enjoy me at wide receiver and other times you'll see me at fullback and tailback and everywhere else. ""It's the biggest priority in my life,"" Evans said of his religion. Warner days, and I wasn't very good,"" he said. ""I ran on every down."" By the time Evans By the time Evans was playing at Auburn, he accepted his role as a utility player. ""The pursuit of perfection, as everyone has labeled it, has had its challenges, but it's been a heck of a ride,"" Evans said. field. He sees things and picks up on things and I wonder, 'How did he pick up on that?""'  If Evans had his choice? position, because this way I get to play a lot,"" he said Tuesday. ""If I had to play another  If Evans had his choice? ""I'd keep my same position, because this way I get to play"
1	Moshe Katsav	Moshe Katsav	Israeli media reports that attorney-general decides to indict President Moshe Katsav.
0	Richard Jewell	Richard Jewell	Also passing from the national scene were Samaritans founder Chad Varah, presidential aide Harry Dent, philanthropist Brooke Astor, televangelist Tammy Faye Bakker, federal judge James Oakes, foreign aid official John Withers, Capitol Steps leader Bill Strauss, and Atlanta Olympics bombing hero Richard Jewell.
1	Milford, N.H.	Milford, New Hampshire	CLINTON-CAMPAIGN-STP MILFORD, N.H. Suddenly, Hillary Rodham As she stormed into New Hampshire on Friday to try to regain her mantle, Clinton, 60, told 3,200 party activists at a state Democratic Party dinner in Milford that she has the experience and toughness to bring the broad change voters want. At the Democratic dinner in Milford, Clinton talked about her commitment to change, and touched on another key Obama theme as well: the need for more bipartisanship in Washington.
1	GDR	East Germany	Big Brother could learn a few things from the Stasi, the secret police of the GDR, and Captain Gerd Wiesler (Ulrich M?he), its most single-minded agent.
1	DDR	East Germany	even many in the former German DDR want the good old days back, in the good old days on average they were poorer, but nobody really was poor I fear that the same is happening in China, China propaganda is in great contrast with reports made there without government guidance India is another example of the same.
1	East Germany	East Germany	Germany will pay damages to former prisoners of war sent back to communist East Germany after World War II from camps in the Soviet Union, under a law passed Friday.
1	Ike Turner	Ike Turner	"Then came the 1993 film adaptation, ""What's Love Got to Do With It,"" which featured Laurence Fishburne in a Oscar-nominated portrayal of Ike Turner as a sullen and tyrannical husband."
0	Louise Jones	Louise Jones (cyclist)	But a jury refused to send Louise Jones to jail, fining her $650 (euro500) instead. Jones' attorney, Basil North, said he might appeal. The trouble started when two officers responded to a domestic disturbance call near the Jones's home in 2004. Police parked and questioned Jones, then threatened to write her a ticket, which led to the scuffle.
1	Red Wing	Red Wing, Minnesota	Other city and village maps included on this CD: Albert Lea, Anoka, Austin, Blue Earth City, Brainerd, Brownsville, Caledonia, Carver, Chaska, Chatfield, Clencoe, Cleveland, Dodge Center, Duluth, East Janesville, Faribault, Hastings, Henderson, Kasson, Lake City, Lanesboro, Le Sueur, Litchfield, Mankato, Mantorville, Minneapolis, New Auburn, New Ulm, Northfield, Owatonna, Preston, Red Wing, Rochester, Rushford, Sauk Centre, Sauk Rapids, Shakopee, Spring Valley, St. Cloud, St. Paul, St. Peter, Stillwater, Wabasha, Waseca, Wells, Wilton, Willmar, Winona and Winnebago City.
0	Red Wing	Red Wing, Minnesota	A spokesman for the authority, Jeremy Soffin, said that Millies was wearing a size 10 1/2 shoe made by Red Wing.
1	Battelle Memorial Institute	Battelle Memorial Institute	Justice Department attorney Jeffrey Bucholtz and Battelle lawyer Tami Lyn Azorsky argued there's no way their clients could foresee the material would be used as a terror weapon because it had never happened before. The suit also claims the government and Battelle are negligent because they failed to keep it secured.
